y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1,99.59356,-0.27248,-95.31924,-0.68705,199.39298,-89.96153,1,-1.64707,-0.19299,11.93901,-3.24304,True,450.3082
1,99.31008,-1.05777,-101.16827,-0.6439,199.09273,-90.95955,1,0.90267,-1.52696,12.84207,-1.21458,True,445.96626
2,100.10323,-0.45194,-97.84071,-0.65995,199.89213,-87.88828,4,-1.75014,0.49531,12.47451,-1.93313,True,451.59581
2,99.6139,-0.52227,-95.80436,-0.66438,199.40246,-92.6856,1,0.22968,0.23948,8.29533,4.25176,True,450.16734
1,98.15784,0.12789,-99.20488,-0.64441,197.94027,-87.42192,2,0.85779,0.7096,10.37367,-0.39467,True,441.18677
1,101.18013,0.03851,-103.71918,-0.70093,200.98545,-91.34829,3,0.92597,-1.31429,10.6788,-2.37062,True,454.04106
2,99.87058,-0.14692,-99.91225,-0.61712,199.66184,-90.85474,1,-1.40734,-0.22495,13.24726,-1.21114,True,449.39678
1,101.8357,-0.27197,-103.45177,-0.68762,201.63894,-94.4079,3,1.85641,-2.68701,10.32523,-1.78172,True,457.45262
3,100.8766,0.22244,-93.41307,-0.59497,200.64958,-94.49368,4,0.12994,-0.06685,8.20701,0.28583,True,457.67645
3,97.53416,-1.3403,-101.15563,-0.59875,197.31133,-87.21239,2,-1.01633,0.45583,10.71251,3.59827,True,437.093
1,99.92666,-0.30101,-93.772,-0.64403,199.70895,-90.50495,1,0.42,-2.66662,10.40266,-2.87229,True,452.74728
1,99.7912,1.24524,-95.57015,-0.70581,199.59887,-90.54631,1,-1.73785,0.34328,9.77922,-1.12207,True,451.17092
1,99.42766,-0.9768,-97.9211,-0.66237,199.22198,-92.34518,1,0.92333,1.13566,11.70506,-1.95015,True,448.17775
2,101.08381,0.40608,-104.65312,-0.65689,200.88323,-89.14703,3,1.15553,1.96998,12.00649,-1.1804,True,453.09249
2,100.33903,-0.63346,-103.73222,-0.64145,200.12036,-89.36495,4,-0.75511,-0.66503,12.05834,-1.14311,True,449.82904
3,98.15456,-0.32845,-103.0998,-0.64878,197.96086,-90.17896,2,-0.21225,-0.2296,11.50608,3.43595,True,439.22291
2,99.0075,0.00162,-102.12917,-0.6585,198.80914,-88.01735,1,0.02266,-0.1322,10.95489,-2.68965,True,443.97293
3,100.74065,1.58836,-98.77279,-0.57897,200.52406,-89.0798,4,0.21574,0.74414,13.29576,1.26712,True,454.31685
2,99.97789,-1.5473,-98.52621,-0.6563,199.77531,-90.91993,1,-2.46916,-1.70002,13.36438,-0.55612,True,450.62634
3,100.6659,-0.975,-95.95541,-0.63187,200.45404,-91.4366,4,1.62944,0.39319,8.38413,-3.27672,True,455.35182
2,98.94762,0.2781,-98.12516,-0.6196,198.71537,-90.10307,2,1.01256,1.85659,10.68696,-0.15145,True,445.67551
3,100.88355,-0.75838,-100.35651,-0.69951,200.7044,-90.97023,4,-0.4878,0.16453,13.21571,5.25516,True,454.23949
3,100.38553,0.7983,-97.84991,-0.67974,200.19642,-93.04419,4,0.85264,0.23461,11.38358,1.67877,True,453.00272
1,99.38195,-1.38611,-102.10474,-0.66899,199.17664,-91.90624,1,-0.43316,-0.85134,10.17727,-3.73113,True,445.85737
3,99.27294,-1.2995,-100.48961,-0.64466,199.06801,-91.21861,1,-0.11297,-1.47041,11.2195,3.08739,True,446.11992
1,99.51904,-0.81734,-96.9244,-0.69544,199.3222,-88.35523,1,3.67146,-0.95223,11.6987,-1.10114,True,449.13299
3,99.94926,-0.07176,-95.81588,-0.63017,199.73922,-91.3421,1,-1.45618,-0.33445,11.35873,4.20413,True,451.83835
1,100.9661,-0.31336,-97.14741,-0.69917,200.77607,-94.34418,4,-0.99707,0.31418,8.77416,-3.69222,True,456.2568
1,100.3437,0.11929,-98.74064,-0.65002,200.12804,-90.31654,4,-0.76763,-0.4589,12.38725,-1.26484,True,452.34819
2,101.60113,1.58356,-102.20092,-0.66194,201.40484,-90.63952,3,-0.80168,-0.86924,11.0758,-0.99965,True,456.90518
1,99.43367,-0.60993,-107.38323,-0.69711,199.23986,-89.14115,1,-3.40327,1.6681,10.99148,-0.53296,True,443.47672
3,99.86509,0.37166,-106.98436,-0.58796,199.6486,-88.31154,1,-0.31195,0.07198,12.06574,2.17166,True,445.83327
1,100.91821,1.06482,-105.1308,-0.67491,200.71621,-90.47476,4,-0.85505,0.98231,10.9956,-3.11033,True,452.02565
1,100.30326,-1.49576,-95.80319,-0.69789,200.10863,-90.14867,4,0.38751,-0.25662,9.39555,-0.17376,True,453.61473
2,98.47106,-1.37784,-100.80233,-0.65507,198.27388,-92.64576,2,-0.79347,0.28399,10.73745,-3.4696,True,441.95414
1,99.15328,-0.659,-95.86196,-0.69743,198.96092,-90.19751,1,0.00642,-1.64529,8.95988,-3.8453,True,447.83541
2,99.82433,-0.33303,-98.43506,-0.65459,199.62535,-93.13319,1,-2.57275,-0.22359,11.55424,-1.28733,True,449.90413
3,100.72964,-0.39845,-99.3183,-0.59887,200.5066,-92.61153,4,-0.28626,-0.27252,12.63929,-1.22911,True,453.98906
3,99.30059,-1.10559,-99.2876,-0.58613,199.07431,-90.30205,1,-0.11675,-1.19064,11.26735,0.30087,True,446.85916
2,98.78271,-0.98897,-94.81361,-0.61964,198.55163,-93.46447,2,-2.30307,-0.74057,7.91095,4.18341,True,446.50672
3,99.72218,0.27417,-101.00947,-0.66189,199.53454,-88.27239,1,-1.15446,-1.93307,11.89707,4.73986,True,448.10616
1,100.97138,-0.75599,-108.60062,-0.67985,200.76909,-91.21223,4,-1.15992,-1.09706,10.11305,-3.469,True,450.55661
1,98.63805,-0.10357,-105.43557,-0.65883,198.43163,-89.48684,2,-0.60515,0.39762,11.36514,-2.10574,True,440.47249
1,100.65109,0.10634,-100.35337,-0.62212,200.43126,-89.73276,4,2.75512,-1.58943,11.99604,-2.61295,True,453.07878
1,99.82798,-0.29197,-95.78566,-0.69304,199.63075,-87.53131,1,0.83589,-0.91963,10.05458,-4.82881,True,451.24706
3,99.00199,0.06591,-99.58995,-0.63673,198.80253,-88.61205,1,-0.89394,-0.67781,10.37169,1.38003,True,445.21499
1,101.65822,0.72477,-105.58197,-0.66473,201.44804,-94.44755,3,0.66548,0.62214,10.65146,-2.43136,True,455.50012
3,97.26435,-1.83977,-91.19076,-0.66798,197.0789,-90.79765,2,-0.80699,0.21556,12.20156,3.21985,True,440.72639
3,99.91403,0.66719,-103.69576,-0.66112,199.71688,-91.51404,1,-0.47943,0.72707,10.4083,3.37474,True,447.72225
3,99.38056,-0.13559,-99.20916,-0.62528,199.16981,-87.21908,1,1.19833,0.40449,11.8269,0.8057,True,447.29821
2,100.20279,-0.8009,-96.33226,-0.63693,199.99188,-91.89944,4,-2.501,-2.81121,13.22889,-0.2567,True,452.84782
3,98.61765,-1.56792,-96.83146,-0.60743,198.39561,-89.39147,2,-0.07796,0.15139,13.24097,5.28521,True,444.67251
3,100.14725,-0.00334,-98.4431,-0.71306,199.96742,-91.62704,4,0.01623,0.61934,10.31063,1.55152,True,451.51471
2,99.96513,-0.51806,-100.6787,-0.63775,199.75763,-90.49339,1,0.76202,1.74177,14.18412,-0.92851,True,449.4863
3,99.64319,0.57532,-96.54642,-0.6156,199.42995,-87.76391,1,-2.41973,0.506,10.11819,0.97271,True,449.94275
3,101.59939,0.43921,-98.94809,-0.63363,201.38514,-93.12629,3,-0.50086,-0.18243,10.88434,1.36676,True,458.52292
1,101.86943,0.21326,-102.09826,-0.62594,201.64739,-92.24556,3,1.69118,1.64705,12.93634,-3.68963,True,458.29803
3,101.06321,0.52051,-99.91001,-0.60981,200.84843,-90.43228,3,-0.8598,-0.50374,10.52417,3.4103,True,455.36104
3,100.59681,-0.17127,-97.52375,-0.62335,200.38069,-92.52895,4,0.2706,-0.65564,10.65384,2.3018,True,454.22215
3,97.42174,-0.89681,-94.97409,-0.70069,197.23789,-87.67165,2,0.49997,-0.11149,12.81428,2.56392,True,439.62165
1,99.59871,1.11268,-99.14547,-0.63342,199.37995,-91.57823,1,0.60424,-0.55887,10.06839,-3.35862,True,448.42083
1,100.40063,-0.20239,-100.92698,-0.70297,200.20867,-94.16878,4,1.07218,-1.41705,12.3314,-2.82512,True,451.53965
2,99.19327,-0.73522,-97.77839,-0.62917,198.97924,-88.34868,1,0.87956,-0.45634,11.76756,0.03523,True,447.07718
1,101.46018,0.44958,-94.73577,-0.68681,201.26563,-90.62306,3,1.33305,-1.66001,9.01089,-1.4464,True,459.93304
3,100.32511,0.82307,-103.26532,-0.60633,200.11418,-90.40029,4,-1.51706,0.57061,9.89242,1.94429,True,449.9929
3,99.64887,0.43081,-99.67679,-0.64475,199.44626,-90.30165,1,-0.16364,-0.44948,11.17154,2.02611,True,448.40596
1,100.24224,0.1258,-97.68182,-0.68997,200.04359,-92.1657,4,0.60468,1.18065,11.44861,-3.32843,True,452.37031
1,101.19442,1.0264,-101.00453,-0.65844,200.98799,-91.2602,3,-0.52111,1.1998,9.68766,-1.03459,True,455.46981
2,100.92342,0.08935,-98.58542,-0.64186,200.70929,-92.51101,4,1.12294,0.59596,10.89416,-1.77543,True,455.32438
3,99.47261,-0.25924,-96.12466,-0.69032,199.28369,-90.15135,1,0.18568,0.51117,12.34499,2.25416,True,449.30072
2,99.42105,-1.75809,-103.27541,-0.62272,199.19258,-91.32999,1,0.53905,0.23793,14.64577,1.18654,True,445.46753
1,98.75458,0.10353,-97.80462,-0.64667,198.54229,-90.38274,2,0.17972,1.25471,8.99517,1.26766,True,444.8706
1,100.0681,-0.0426,-100.64558,-0.64833,199.8544,-87.46072,4,0.28165,-1.04752,11.0099,1.05353,True,450.0177
3,100.05606,1.37773,-101.89768,-0.65368,199.85085,-91.70978,4,0.58326,0.18941,9.72628,2.0635,True,449.33148
2,99.78964,-1.13268,-95.09115,-0.63973,199.57393,-90.22777,1,0.99633,0.27188,12.66976,-3.14867,True,451.40263
3,99.02041,-0.65698,-99.61098,-0.59617,198.80657,-93.47822,1,0.15549,0.41634,11.55155,0.20601,True,445.29655
1,98.15514,-0.65653,-98.94423,-0.68506,197.95744,-87.9983,2,-0.5738,1.05269,10.70528,-1.03202,True,441.30361
1,100.04643,-0.80487,-98.19008,-0.61887,199.82328,-89.62846,4,1.30979,-0.56744,11.39136,-2.15226,True,451.1371
1,98.83945,0.25788,-102.41634,-0.66152,198.63099,-87.37972,2,-1.78785,2.03359,11.23132,-2.18664,True,442.98905
1,100.29907,-0.78542,-100.31978,-0.66404,200.09079,-89.28952,4,0.58749,-1.1063,12.09242,0.39819,True,451.33544
1,101.0252,-0.53369,-100.5615,-0.6384,200.80502,-95.47325,3,-1.12454,0.91314,9.2166,-1.86836,True,454.84523
3,99.59408,0.61529,-104.73684,-0.69298,199.40334,-90.74299,1,-0.2759,0.46586,10.82023,2.04457,True,445.60198
1,99.37258,0.30914,-98.84038,-0.66935,199.17102,-88.95743,1,-0.60463,1.39117,11.2765,-1.60802,True,447.4427
3,98.6851,0.26621,-95.06528,-0.66056,198.49147,-88.48052,2,-0.09185,-0.10914,11.35001,3.29839,True,445.89287
1,99.00773,0.3169,-92.72376,-0.65249,198.79712,-89.76256,1,2.12703,-1.37338,10.71735,1.59134,True,448.67678
3,101.43764,0.05144,-97.0259,-0.70966,201.25454,-89.33156,3,0.94072,0.02279,10.77561,-0.56785,True,458.67523
3,100.37234,0.94051,-99.98976,-0.68403,200.17737,-91.777,4,-0.68311,-0.47702,13.44185,3.15875,True,451.86684
1,99.23038,-0.39602,-97.49212,-0.67933,199.03303,-88.77238,1,0.11905,2.0712,11.51006,-2.37565,True,447.40582
1,98.83791,-0.85844,-92.76247,-0.63893,198.6228,-88.74217,2,1.36388,-0.59755,11.03479,-2.52168,True,447.80831
3,99.60959,-0.964,-102.87724,-0.66602,199.4081,-92.05861,1,0.26819,-0.42009,11.96811,2.32931,True,446.60931
1,101.46406,0.1843,-99.07013,-0.65033,201.24992,-89.64474,3,-0.01291,-2.10089,8.8225,-1.76448,True,457.78525
3,100.6183,-0.51127,-100.7017,-0.66588,200.42684,-87.55588,4,-0.07373,0.55497,10.3003,1.62972,True,452.74064
1,101.20336,-0.71471,-101.32448,-0.67838,200.99923,-91.19581,3,0.42277,0.36485,10.91388,-1.37501,True,455.35457
3,100.45103,-0.23108,-102.97144,-0.63754,200.24962,-94.16775,4,-0.6377,-1.11502,12.19237,3.69001,True,450.76942
3,100.65331,0.4626,-95.89861,-0.58626,200.43951,-93.54499,4,0.2544,-0.52542,10.37162,2.53118,True,455.31724
2,100.00844,-1.22689,-98.42507,-0.62335,199.78435,-90.98891,4,-0.97704,-0.26493,12.99828,-0.5694,True,450.82967
1,100.19253,-0.14618,-107.34988,-0.62717,199.97017,-90.20087,4,0.24702,-0.27783,13.05196,-3.76642,True,447.28773
3,100.25113,0.48908,-96.48799,-0.63533,200.04088,-89.70183,4,0.11038,0.07166,12.83449,1.8794,True,453.01167
2,99.54142,0.92292,-103.3384,-0.62189,199.33295,-89.38274,1,3.22097,2.25111,9.2527,2.06461,True,446.03792
1,100.32345,-0.13097,-96.63155,-0.67724,200.11836,-88.61771,4,-1.18745,2.51341,8.65436,-2.53316,True,453.30149
1,100.82719,0.04193,-101.13246,-0.65865,200.61681,-89.0325,4,-0.52746,-0.37097,10.77653,-3.94736,True,453.5697
1,101.86286,-0.93216,-100.34941,-0.7053,201.67323,-93.98325,3,-0.5294,-1.55398,11.27374,-3.37503,True,459.13958
1,100.22855,-0.52172,-96.80653,-0.64992,200.01998,-88.75925,4,0.04733,0.7347,9.10938,-1.39139,True,452.73951
3,99.4281,-0.13179,-98.50579,-0.60164,199.20222,-86.13266,1,-0.42072,1.05213,10.18293,3.05238,True,447.8876
2,99.69303,-0.07821,-101.47178,-0.62077,199.46333,-89.2518,1,-0.62441,-1.77406,11.54748,-1.92546,True,447.72924
2,99.6204,0.03233,-96.84561,-0.64499,199.3967,-91.30758,1,0.99557,0.25642,11.51397,-0.37086,True,449.6792
3,101.30479,0.55262,-106.40812,-0.668,201.10865,-91.3044,3,-0.70799,-0.93904,10.20688,0.00265,True,453.31989
1,99.95344,0.09084,-103.56444,-0.68209,199.75017,-90.65835,1,2.45953,-1.98757,11.55638,-2.68854,True,447.985
3,99.50367,0.15467,-98.29488,-0.60629,199.29572,-90.06664,1,-1.17439,1.17069,13.38149,2.0029,True,448.37093
1,98.22971,-0.45496,-96.82425,-0.61985,198.00311,-87.17879,2,-1.02585,0.80751,11.79639,-4.13887,True,442.73644
2,102.1739,0.51474,-107.72841,-0.62831,201.96352,-92.17586,5,-1.17039,-2.60932,12.12694,-2.39547,True,457.00529
2,100.05666,-0.26664,-105.82866,-0.64644,199.85113,-90.27745,4,2.43404,4.76137,7.886,0.25031,True,447.36896
3,99.22772,-0.34415,-94.89107,-0.68909,199.03803,-91.95827,1,1.12313,0.4046,9.21631,0.02984,True,448.69307
3,100.25133,0.05213,-98.32733,-0.60085,200.03008,-88.70071,4,-0.1294,0.08618,11.50075,2.56271,True,452.093
3,99.17097,-1.06345,-97.71784,-0.66524,198.97017,-90.412,1,0.18901,-0.71063,11.92185,3.55658,True,446.99592
1,100.00817,-0.50224,-97.71973,-0.70721,199.8172,-87.95558,4,0.46516,0.87924,10.96207,-0.94638,True,451.18097
1,99.49162,0.39059,-95.37049,-0.707,199.30135,-90.4817,1,-1.73128,0.83385,10.98616,-0.97381,True,449.77284
1,99.36492,0.07457,-101.81256,-0.71395,199.17811,-92.3492,1,-1.63909,2.65699,10.54686,1.31931,True,445.91831
2,99.91199,0.2772,-101.61199,-0.62509,199.67987,-88.2544,1,-0.21458,-2.04881,12.83835,-0.63989,True,448.75398
3,97.85016,0.60904,-95.97143,-0.62638,197.63979,-88.14961,2,0.01552,-0.20115,11.16322,-1.7718,True,441.26506
1,99.57297,0.28945,-103.50279,-0.70826,199.38133,-89.98349,1,1.47405,-0.51362,10.36612,-1.40094,True,446.11348
1,100.48097,0.58032,-96.22283,-0.65598,200.27176,-89.49316,4,0.25812,0.06744,9.23408,-1.64889,True,454.29343
2,100.90661,0.29114,-93.02705,-0.61877,200.67495,-89.69809,4,-0.12081,-2.16043,12.12485,-0.54161,True,458.01952
2,99.7493,0.11293,-101.45692,-0.64883,199.5273,-88.7527,1,0.70627,2.16924,10.26038,1.13047,True,448.01804
3,99.05785,-0.34451,-102.55001,-0.6233,198.8451,-89.82317,1,1.22499,0.02818,10.14656,4.36788,True,444.01425
2,99.28065,-0.827,-95.58431,-0.63142,199.05409,-88.05256,1,-3.65137,-1.69488,10.6553,0.02961,True,448.61111
1,99.41913,0.9181,-103.98911,-0.64883,199.20345,-87.23291,1,0.58541,-0.16578,9.39597,-1.35858,True,445.1011
2,101.73615,-0.70369,-101.9972,-0.61568,201.52659,-91.21138,3,-0.35495,1.19183,9.29517,2.17329,True,457.68213
1,99.30585,-0.91513,-95.32957,-0.65761,199.09971,-89.87792,1,0.08851,-0.27506,12.92617,-0.80657,True,448.86444
3,98.86865,-0.67824,-95.9623,-0.64918,198.66999,-90.90097,2,0.35721,0.49441,10.49844,-0.7934,True,446.36208
1,102.35367,1.00968,-104.45469,-0.65832,202.14668,-93.04917,5,-0.55322,2.04375,12.06447,-2.92515,True,459.541
2,101.10954,-0.04596,-104.59948,-0.61613,200.90044,-90.59966,3,0.37954,1.50152,11.32116,-1.42513,True,453.24797
3,100.72078,0.47525,-103.63978,-0.69271,200.53449,-89.28563,4,-0.70537,-0.38565,10.17804,1.64418,True,451.78401
3,99.42792,1.58478,-100.40472,-0.71224,199.24414,-89.4807,1,-1.50373,0.56203,9.39807,3.25657,True,446.93724
1,100.17667,0.33632,-99.15609,-0.68265,199.97685,-90.25589,4,-0.21881,-1.97101,11.07273,-2.42178,True,451.30531
1,99.99804,-0.72796,-99.49052,-0.63031,199.77892,-88.72984,1,-0.70006,1.05454,11.84462,-2.06178,True,450.24494
1,98.46774,-0.04443,-99.41897,-0.6819,198.264,-90.78487,2,-0.33199,-1.5187,11.81956,-0.78038,True,442.6292
1,99.73143,-0.29279,-102.12407,-0.69909,199.53449,-88.62314,1,2.79669,-2.47945,10.312,-1.92144,True,447.59512
1,100.84999,-0.1755,-96.75688,-0.65486,200.64322,-91.58155,4,0.19477,-0.21296,11.31078,0.10027,True,455.87151
2,101.75843,1.83008,-105.77312,-0.66324,201.56094,-93.71499,3,0.96098,-0.64158,9.92051,4.72216,True,455.90559
1,100.34906,0.74814,-102.14481,-0.65526,200.13936,-88.46221,4,-0.41026,0.80198,10.33801,-2.96373,True,450.67292
2,99.18757,-0.17386,-98.24876,-0.65428,198.9838,-87.57275,1,0.62464,1.97691,12.84493,-1.75905,True,446.81346
2,98.90631,-0.02653,-100.93294,-0.64012,198.68976,-87.87755,2,0.89907,1.82398,12.0078,-0.30881,True,444.0651
2,100.47432,1.16,-97.66519,-0.63961,200.27037,-90.30099,4,0.45931,0.41978,11.10317,-1.37606,True,453.53899
2,100.17434,-1.32941,-97.65824,-0.63836,199.95808,-92.71929,4,-1.36084,0.11384,8.91317,0.6194,True,452.04257
3,99.03333,0.06873,-95.36633,-0.64909,198.82509,-88.98161,1,-0.44707,-0.12586,10.55146,0.15084,True,447.4835
1,100.20997,1.31619,-98.69806,-0.70926,200.0173,-92.13461,4,-1.05505,1.09539,9.45028,-1.35261,True,451.70081
1,101.11062,1.01109,-101.26858,-0.664,200.90074,-91.84117,3,-0.62564,1.81038,10.46601,-3.18179,True,454.9188
1,98.49766,-1.85255,-101.06257,-0.62496,198.27825,-89.90002,2,-0.35978,0.02844,8.75338,-4.48686,True,441.95701
1,100.17584,-0.35372,-98.08648,-0.70784,199.9847,-90.2767,4,0.1137,0.87133,10.836,-2.26606,True,451.83595
2,100.05764,1.2017,-103.66451,-0.6191,199.8259,-88.95783,4,1.30596,-0.06,7.43055,2.14517,True,448.45594
1,100.39951,0.59087,-103.83335,-0.64531,200.18415,-92.29243,4,-1.59555,0.19895,11.20986,-1.19297,True,450.08087
2,99.97824,-0.06915,-98.7782,-0.63069,199.77702,-87.92789,1,-0.80206,-1.22356,12.56187,-0.38617,True,450.5021
3,100.5786,0.06257,-100.24125,-0.63114,200.37398,-91.3099,4,0.50372,0.93012,10.33602,2.15108,True,452.77238
3,99.45346,0.46185,-101.91773,-0.61024,199.23923,-85.7008,1,0.23121,-0.32196,10.97347,4.78514,True,446.30842
3,99.91323,-0.26645,-100.02922,-0.59393,199.69564,-91.58974,1,-0.19151,-0.76556,9.63245,0.57283,True,449.55156
3,99.49821,0.726,-98.90324,-0.58948,199.28471,-89.12792,1,0.84257,-0.15801,10.12709,2.17618,True,448.03942
1,102.10152,0.76805,-100.83579,-0.64848,201.89022,-92.53924,5,-0.51062,-1.13961,9.42897,-2.63972,True,460.08972
3,99.38426,-0.8443,-97.44448,-0.60589,199.16639,-90.15143,1,0.44057,-2.4413,9.59296,1.69741,True,448.19906
1,99.28201,-0.53709,-96.26254,-0.63129,199.06524,-89.63871,1,-0.53586,0.36858,7.6945,-2.13923,True,448.27878
2,99.55815,-0.59405,-100.7701,-0.64137,199.34941,-89.66211,1,1.85722,2.03819,10.91412,-0.59121,True,447.40571
1,99.93207,0.42204,-102.74792,-0.71304,199.74228,-93.10987,1,2.63702,-5.3413,11.16396,-0.75111,True,448.28641
1,100.58519,0.29564,-101.60856,-0.67875,200.38756,-89.69833,4,-1.25007,1.24888,11.32259,0.73079,True,452.12165
1,99.45627,1.37784,-102.55616,-0.67882,199.25443,-88.67583,1,0.42497,-0.79076,12.49457,-0.52236,True,446.00325
1,99.40337,0.03456,-96.92089,-0.64842,199.18993,-90.4486,1,1.05667,1.07043,11.0059,-0.32181,True,448.55639
3,99.94839,0.12572,-99.25951,-0.70938,199.76519,-90.55475,1,-0.28791,1.22132,11.59192,2.66313,True,450.1122
1,100.77222,1.05809,-97.63076,-0.65852,200.56288,-90.73892,4,3.2613,-2.17253,10.90278,-2.46998,True,455.04572
3,101.16735,0.41893,-100.24947,-0.60381,200.94347,-88.17502,3,-0.88591,0.45027,11.27166,-1.11973,True,455.71203
1,99.886,-0.34535,-105.31717,-0.67835,199.68154,-89.98032,1,0.38653,1.30377,10.98965,-3.21222,True,446.77142
1,97.64262,0.47698,-102.80396,-0.63803,197.4275,-87.53842,2,0.93397,-2.13602,11.47791,-3.54809,True,436.81114
3,99.55567,0.4941,-96.58815,-0.68453,199.36791,-91.17456,1,0.62061,-0.64181,10.53184,0.62232,True,449.48427
3,101.30478,0.65509,-98.99978,-0.63794,201.10094,-95.21453,3,0.44083,-0.08024,11.13105,0.93462,True,457.02398
1,101.85482,-0.12736,-100.66402,-0.66386,201.64881,-91.54638,3,0.02313,-0.50166,11.49619,-0.87382,True,458.94209
1,100.48585,0.27909,-99.44613,-0.67384,200.28138,-90.62155,4,-1.49849,0.99729,12.7719,-0.25415,True,452.70618
2,103.37768,0.26567,-96.93263,-0.64815,203.17501,-89.68301,5,-1.46638,-1.27098,12.81717,0.00074,True,468.42206
2,98.86988,0.29036,-103.85204,-0.64844,198.66554,-88.14478,2,2.04863,1.34506,11.60197,-1.57494,True,442.42339
1,99.96884,-1.22584,-99.89221,-0.68621,199.76902,-90.68404,1,-0.03067,-0.65255,8.11225,-2.23476,True,449.89808
2,100.508,-0.57312,-100.08044,-0.65099,200.31465,-90.56252,4,1.17051,-0.93043,10.77405,4.54642,True,452.4998
3,99.57341,0.57241,-100.25376,-0.62717,199.35914,-89.40534,1,-1.01993,-0.87483,8.19358,2.84384,True,447.74018
2,100.23596,-0.68799,-99.82781,-0.64237,200.03396,-92.68,4,1.13703,-0.22147,10.07879,-1.65384,True,451.26589
3,99.17887,-0.01511,-101.64614,-0.66665,198.99437,-89.42494,1,-0.27725,0.82573,10.22396,2.91627,True,445.07128
3,99.94759,0.89629,-102.17424,-0.61994,199.73657,-90.92484,1,-0.57968,0.82219,11.88759,-0.62746,True,448.65083
3,100.13374,-0.4209,-101.26942,-0.57691,199.90905,-89.73405,4,-0.1703,-0.06528,12.8048,4.16379,True,450.03399
1,99.20495,0.36392,-102.46983,-0.63159,198.98355,-87.58082,1,-1.74093,-0.12028,11.61035,-3.1091,True,444.78985
3,100.7542,0.69584,-97.0848,-0.57605,200.53075,-90.52681,4,-0.08924,-0.01763,10.34405,1.89382,True,455.2286
1,98.86242,0.15501,-95.77431,-0.62749,198.64037,-90.03173,2,1.32164,-1.05797,13.67551,-0.672,True,446.42493
1,99.80822,-0.46628,-102.70351,-0.69516,199.61555,-87.62807,1,0.31705,-0.71519,11.61853,-1.83229,True,447.68935
3,101.01718,0.35049,-100.24245,-0.68247,200.8252,-92.54831,3,0.14627,-0.38472,11.2194,2.66088,True,454.96467
